Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Gender,Exam_Score
18,89,Medium,Low,4,90,Female,68
18,66,Medium,High,9,87,Male,64
14,96,Low,High,9,64,Male,69
23,96,Low,Medium,10,80,Male,71
32,86,Medium,Medium,6,77,Male,71
14,87,Medium,Medium,6,76,Female,66
20,60,Medium,Medium,4,80,Male,63
28,99,Low,Medium,8,100,Male,72
20,95,Medium,Medium,8,99,Female,70
23,96,Medium,Low,9,99,Female,71
14,86,Low,Low,6,77,Male,65
23,74,Medium,Low,8,66,Female,65
19,96,Low,Medium,6,78,Male,67
26,72,High,Medium,9,81,Male,68
27,83,Medium,Medium,8,66,Female,70
36,64,Medium,Medium,5,82,Female,70
23,97,Low,High,7,81,Male,72
22,66,Medium,High,4,95,Male,65
21,69,Medium,Medium,5,62,Male,65
18,82,High,Medium,5,85,Male,71
22,91,High,High,6,73,Male,74
18,85,Low,Medium,7,56,Male,64
21,69,Medium,Medium,7,66,Female,64
28,60,Medium,High,7,53,Female,65
14,90,Low,Medium,7,66,Male,67
27,99,High,Medium,7,53,Male,73
28,92,Low,High,5,96,Male,72
19,78,Medium,Medium,7,55,Male,65
7,96,Medium,High,9,91,Male,67
16,76,Medium,Medium,7,95,Female,66
28,81,High,Medium,8,73,Male,70
20,79,High,Medium,8,53,Female,66
14,78,High,High,8,80,Female,66
17,91,Medium,Low,7,62,Male,68
25,81,Low,Medium,8,59,Male,68
23,73,High,High,8,78,Female,67
19,70,High,Medium,8,68,Female,65
18,62,Medium,Low,8,87,Female,64
18,83,High,Medium,5,80,Male,70
14,69,Low,Medium,5,91,Male,63
30,66,Medium,High,6,53,Male,65
18,86,Low,Medium,9,62,Female,67
27,87,Medium,Medium,7,78,Female,71
29,90,High,Medium,7,94,Female,73
26,80,Medium,Medium,4,91,Male,67
17,96,High,Medium,7,84,Female,72
22,97,Medium,Medium,7,79,Male,71
20,92,Medium,High,4,82,Male,72
15,85,High,High,7,61,Male,68
22,72,Low,Low,5,80,Female,65
13,99,High,Medium,6,75,Female,68
27,71,Medium,Low,8,69,Male,67
17,68,Medium,Medium,7,94,Female,66
21,78,Medium,Low,6,91,Male,64
22,62,High,Medium,6,54,Male,65
18,99,Medium,Medium,6,99,Male,69
24,84,Medium,Medium,7,61,Male,68
17,82,High,High,5,61,Male,69
25,86,Medium,Medium,9,97,Male,70
12,80,High,Medium,5,72,Female,65
21,61,Medium,Medium,4,90,Male,63
32,84,Low,Medium,8,64,Female,71
14,89,Medium,High,6,94,Male,68
16,77,Medium,Medium,7,92,Female,70
23,90,Medium,High,8,76,Female,72
21,69,Medium,Medium,6,85,Female,64
22,69,Low,Medium,7,98,Male,64
23,66,Medium,Low,8,73,Female,66
24,75,Medium,High,9,75,Male,69
27,94,Medium,Low,6,86,Female,71
22,93,Medium,High,6,69,Male,69
19,75,High,Medium,8,98,Male,67
24,84,Low,Medium,7,52,Male,66
31,89,Medium,Medium,7,70,Female,71
19,70,Medium,Low,9,86,Male,63
14,67,Medium,Low,4,71,Female,62
27,99,Medium,High,5,63,Female,73
19,85,High,Medium,4,71,Female,66
7,99,High,Medium,9,94,Male,72
25,74,High,Low,8,77,Female,67
17,88,Low,Low,5,67,Male,65
19,69,Medium,Medium,7,84,Male,66
22,70,High,Medium,7,81,Female,68
21,80,Medium,High,4,78,Female,69
24,73,High,Medium,7,70,Female,68
17,67,Medium,High,5,54,Male,61
23,71,High,Low,8,81,Male,68
18,61,High,Low,5,71,Male,64
24,88,Medium,Low,7,71,Male,67
24,80,Low,High,9,62,Male,68
14,64,Medium,High,8,62,Male,61
27,67,High,Low,8,89,Female,66
17,64,High,Low,7,74,Female,64
25,85,Low,Medium,5,55,Female,67
22,64,Medium,High,6,52,Female,64
31,90,High,High,7,61,Male,72
19,61,Medium,Medium,7,74,Male,62
18,70,High,Medium,5,81,Female,63
20,96,High,High,8,57,Male,70
18,89,High,Medium,5,72,Male,69
25,63,Low,Medium,9,54,Male,64
10,93,Low,Medium,7,52,Male,66
14,80,Low,Medium,8,93,Female,67
14,94,High,High,8,83,Female,71
26,84,Medium,High,10,89,Female,70
30,87,Low,Medium,7,59,Male,69
19,100,Medium,Low,6,66,Male,68
19,69,Medium,High,6,72,Female,64
20,85,High,Medium,9,83,Male,70
27,78,High,Low,5,77,Male,69
14,62,Medium,Medium,6,78,Female,63
21,61,Low,Medium,7,58,Female,60
26,65,High,Low,7,74,Female,65
23,86,Medium,Medium,8,91,Male,67
21,83,Medium,Low,5,75,Male,66
26,82,Low,High,7,60,Female,68
4,61,Low,High,7,71,Male,58
24,79,Low,High,5,88,Female,67
16,97,Medium,Medium,8,57,Male,68
9,76,Medium,Medium,7,79,Female,62
23,85,Low,High,7,98,Female,69
28,91,Medium,High,6,69,Male,73
19,91,High,Low,6,52,Male,66
26,81,Low,Medium,5,82,Female,67
30,94,Medium,Medium,8,52,Female,71
28,76,Medium,Medium,9,60,Male,66
30,96,High,Medium,10,52,Female,74
24,70,Medium,High,8,59,Male,67
20,71,High,Medium,6,93,Male,68
10,62,Medium,Medium,6,87,Male,61
19,92,Medium,High,8,67,Female,69
15,77,Low,Medium,7,95,Male,65
33,69,Medium,High,7,83,Male,71
19,69,Medium,Low,7,72,Female,61
21,96,Medium,High,9,53,Male,70
23,93,Medium,Low,6,87,Male,70
20,82,Medium,High,9,69,Male,69
30,85,High,Low,7,65,Female,70
16,79,High,Medium,6,64,Male,67
21,76,Low,Medium,6,50,Female,63
16,97,Medium,Medium,7,87,Female,70
12,65,Medium,Medium,8,57,Female,61
16,77,Low,High,6,76,Female,64
20,74,Medium,Medium,8,51,Male,65
17,80,Medium,Medium,6,81,Male,65
16,78,Medium,Low,7,68,Female,66
12,81,High,High,5,82,Female,66
20,66,Low,Medium,8,54,Male,63
11,81,Low,High,7,63,Male,66
25,70,Medium,Medium,9,56,Male,64
20,67,High,Low,8,82,Male,65
11,63,High,Medium,7,55,Male,62
18,91,Low,High,9,81,Male,71
15,77,Medium,Medium,8,57,Male,63
22,85,Medium,High,9,97,Male,70
28,89,Medium,Low,6,71,Male,70
9,87,Medium,Medium,8,56,Female,65
21,79,High,High,8,52,Female,66
19,76,Medium,Low,5,66,Female,66
24,75,Medium,Low,9,95,Male,68
21,86,High,High,5,57,Male,68
15,80,High,Medium,5,90,Female,69
18,94,Medium,Medium,4,71,Female,71
15,95,Medium,Medium,8,90,Male,69
26,67,Medium,High,5,94,Male,68
20,65,Medium,High,6,100,Male,67
31,85,High,Medium,8,53,Male,72
20,72,High,Medium,7,90,Male,68
16,61,High,Medium,6,53,Female,60
11,96,Medium,High,5,66,Male,68
9,69,High,Medium,7,82,Female,65
10,97,Low,High,8,72,Female,67
22,89,Low,Medium,8,78,Female,70
23,91,Medium,Low,10,98,Female,70
11,68,Medium,Medium,6,91,Female,61
25,69,High,Low,5,68,Male,68
17,81,Medium,High,7,80,Female,67
21,67,Medium,High,7,52,Female,62
30,72,Medium,Low,7,73,Male,66
25,73,High,Medium,6,80,Female,69
18,66,Medium,High,4,86,Female,66
15,68,Medium,Medium,5,95,Female,64
7,92,High,Medium,8,64,Male,66
16,67,Medium,Medium,7,95,Male,63
19,61,Low,High,8,83,Male,62
14,85,Medium,Medium,8,54,Male,65
19,99,Low,High,8,69,Male,68
20,73,High,High,8,74,Male,65
19,65,Medium,High,7,68,Female,63
16,83,High,High,7,56,Male,68
21,96,Medium,High,4,78,Male,72
23,91,High,Low,6,57,Male,69
13,85,Low,Medium,6,96,Male,66
28,73,Low,Low,7,93,Male,68
19,82,Low,Low,6,74,Male,64
20,64,Medium,Low,8,53,Male,61
24,87,Low,Medium,6,78,Male,67
21,89,Medium,Low,9,80,Male,68
26,99,Medium,Medium,6,94,Male,74
22,70,Medium,High,6,53,Female,67
16,61,Medium,High,6,85,Male,64
22,82,Low,High,6,78,Male,69
13,88,High,Medium,9,59,Female,63
21,92,Medium,Medium,7,56,Female,67
20,68,High,Medium,7,85,Male,65
19,70,Medium,Medium,6,67,Female,67
19,81,High,Medium,7,100,Female,68
9,73,Medium,Low,7,95,Male,62
17,94,High,Medium,7,78,Female,70
21,79,Low,High,7,82,Female,67
21,92,High,High,9,58,Female,89
14,83,High,Medium,7,95,Female,65
28,91,Low,Medium,5,73,Female,69
15,73,Medium,Medium,7,76,Female,64
26,93,High,Low,6,94,Female,74
23,71,Medium,High,8,50,Female,64
16,82,Low,High,7,75,Female,64
31,69,Medium,Low,9,81,Male,67
13,79,Low,Low,6,58,Male,63
26,73,High,Medium,7,53,Female,68
26,71,Low,Medium,5,77,Male,66
16,99,Low,High,7,77,Female,68
28,66,Medium,High,5,67,Female,68
18,91,Medium,Medium,7,94,Female,69
22,99,High,Low,7,65,Female,71
22,61,Low,High,7,76,Female,65
19,88,Low,Medium,8,59,Male,67
25,70,Medium,Medium,7,51,Female,65
25,62,High,Medium,5,71,Male,65
10,76,Medium,Low,6,76,Male,80
28,97,Medium,Medium,7,88,Male,74
10,60,Medium,Medium,7,72,Male,59
26,84,Medium,Medium,7,64,Male,69
27,80,Medium,Low,9,80,Male,66
13,95,Medium,Medium,7,69,Female,66
18,63,High,High,8,62,Female,65
13,87,High,Medium,4,96,Male,67
19,87,High,High,8,77,Male,69
18,87,Medium,Low,10,60,Female,68
25,98,Medium,Medium,9,84,Female,73
28,93,Low,High,6,90,Female,71
28,62,High,Medium,10,88,Male,67
17,79,Medium,Medium,7,80,Female,67
19,76,High,Low,7,76,Male,66
10,72,Medium,Low,7,89,Female,63
15,78,High,High,7,85,Male,65
26,75,Medium,Low,4,79,Male,67
30,77,Medium,Low,8,83,Male,69
13,99,Medium,Medium,7,58,Male,67
16,64,High,Medium,7,51,Male,66
20,97,High,High,7,97,Female,74
22,79,High,Medium,6,97,Female,69
15,85,Low,Medium,7,89,Female,66
23,93,High,Low,9,69,Male,69
17,74,Medium,Medium,8,58,Male,63
20,77,Medium,Low,7,68,Female,65
23,76,Low,Medium,7,86,Male,64
20,75,Low,Medium,7,67,Male,64
17,97,Low,High,6,90,Male,69
19,93,High,High,7,84,Female,73
19,64,Medium,Medium,8,81,Male,62
18,64,Low,Low,7,97,Male,62
18,77,Medium,Medium,6,95,Female,68
30,64,Medium,Medium,7,86,Female,66
23,85,Low,High,8,60,Female,68
18,66,Low,High,5,97,Male,66
24,81,Low,Medium,6,61,Male,69
18,60,Medium,Medium,5,69,Female,62
27,73,Low,Medium,7,91,Female,68
22,87,Medium,Medium,8,60,Male,67
19,79,Low,Medium,9,82,Male,65
23,99,Low,Medium,9,73,Male,69
11,95,Medium,Medium,6,81,Male,67
13,74,Low,Low,7,98,Female,64
13,62,Low,Medium,6,90,Female,62
21,94,Medium,Medium,9,65,Male,71
30,96,Medium,High,9,53,Male,72
33,93,High,High,7,98,Female,74
24,65,Low,High,6,79,Male,66
23,100,High,Low,4,59,Female,72
9,70,High,Medium,5,81,Female,65
17,89,High,Medium,4,52,Female,67
15,96,Medium,High,5,59,Male,70
16,69,High,Medium,10,82,Male,62
19,96,Low,Low,5,70,Male,66
17,72,Low,Medium,5,66,Male,65
8,99,Low,High,6,83,Male,70
24,71,High,High,10,93,Female,69
14,98,Medium,Medium,7,84,Female,70
21,62,High,High,8,73,Female,66
32,88,Medium,Low,7,83,Male,73
14,81,High,Medium,4,85,Female,69
5,79,High,High,9,89,Female,66
18,69,High,Medium,8,65,Male,65
27,88,Medium,Low,7,56,Female,70
32,68,High,High,10,84,Male,70
13,82,High,Medium,6,56,Male,67
23,70,Medium,High,7,73,Male,68
17,98,Medium,Low,6,62,Female,68
19,61,High,Medium,9,67,Female,61
36,68,Medium,Medium,8,74,Male,70
11,70,High,High,7,95,Male,65
22,77,Low,Medium,5,84,Male,66
23,69,Medium,Medium,6,59,Male,67
27,80,Low,Low,5,94,Male,69
21,95,Medium,High,9,75,Male,69
22,88,Medium,Medium,5,60,Male,67
18,83,High,Low,9,76,Female,66
22,64,Low,Medium,9,60,Male,63
18,88,High,Medium,6,68,Female,67
24,67,High,Low,6,90,Male,64
18,91,Medium,Low,6,83,Male,68
22,70,Medium,High,8,74,Male,65
20,77,Medium,Low,9,61,Male,65
27,74,Medium,Low,9,64,Male,65
20,94,Low,Medium,6,99,Female,70
9,65,Medium,High,9,67,Female,62
28,83,High,Low,9,81,Male,68
15,66,Low,High,7,75,Male,62
16,88,Medium,High,7,51,Female,68
16,96,High,Medium,9,97,Male,72
28,77,High,Medium,9,54,Female,70
7,80,High,Medium,9,83,Female,62
39,97,High,High,10,91,Female,79
26,81,Medium,High,8,87,Male,73
21,80,High,High,7,90,Male,68
20,83,High,Medium,9,87,Male,68
22,88,Medium,Medium,10,72,Female,69
23,64,Medium,Low,6,95,Female,63
24,93,Medium,Medium,7,96,Female,74
23,77,Medium,Medium,5,72,Female,69
21,63,Medium,Low,8,74,Female,61
19,91,Medium,Low,8,74,Female,69
19,75,Medium,Low,6,64,Female,64
19,64,Medium,Medium,9,56,Female,63
27,85,Low,High,6,63,Male,68
24,95,High,Medium,6,92,Male,72
2,96,Low,High,9,77,Female,65
24,98,Low,Low,6,93,Male,69
21,95,Medium,Low,5,87,Male,70
20,60,Medium,Medium,8,67,Female,63
18,75,Low,Medium,7,59,Female,62
27,93,Medium,Medium,9,78,Female,72
26,75,High,High,8,97,Male,69
15,84,Medium,Medium,4,92,Female,66
22,84,Medium,Medium,9,88,Male,71
14,75,Low,Low,10,88,Female,62
12,96,Medium,Low,9,76,Male,68
16,80,High,Low,9,58,Female,63
25,79,Medium,Medium,7,64,Female,66
26,100,High,Medium,6,79,Male,75
23,80,Medium,Low,7,66,Female,69
24,67,High,Medium,8,89,Female,68
23,81,High,Medium,8,69,Male,69
16,93,High,Low,6,56,Male,67
23,91,High,Medium,6,89,Male,73
25,92,Medium,High,5,85,Male,71
25,88,High,Medium,8,63,Female,71
27,70,Medium,Medium,6,99,Female,68
24,94,High,Low,7,70,Male,70
22,96,Low,High,10,84,Male,71
26,68,Medium,High,8,96,Male,69
20,65,High,Medium,7,58,Male,63
15,99,Low,Medium,8,94,Male,71
19,95,Medium,Medium,9,85,Male,69
16,96,High,Medium,5,58,Male,71
16,95,Medium,Low,6,83,Female,68
19,82,Medium,Medium,7,94,Female,68
15,86,Medium,Low,6,90,Male,66
18,82,Medium,Medium,7,88,Female,67
9,62,Low,High,5,58,Female,59
21,90,Low,Medium,8,60,Female,66
20,80,Low,Low,6,77,Male,64
15,86,Medium,Medium,7,79,Female,64
24,80,Medium,High,7,97,Female,69
26,80,High,Low,8,73,Male,69
10,67,Medium,Medium,4,65,Male,61
15,71,High,High,8,60,Female,62
15,66,Low,Medium,7,53,Female,61
14,68,Medium,Medium,8,53,Female,63
25,99,Medium,Low,5,79,Female,71
19,66,High,High,8,59,Female,65
18,71,High,High,9,93,Male,68
8,84,High,High,7,80,Male,67
24,84,Low,High,6,93,Female,70
13,66,High,Medium,6,71,Male,64
20,92,Medium,High,8,80,Male,71
22,91,High,Medium,8,76,Female,71
28,69,Medium,High,8,99,Female,67
12,72,Medium,Low,7,90,Male,63
2,98,Low,High,7,80,Male,66
21,93,Medium,Low,7,80,Male,70
31,88,Medium,Low,6,62,Male,70
27,63,Low,Medium,8,87,Female,67
21,77,Low,Medium,7,99,Male,69
17,82,High,Low,9,56,Female,66
25,67,Medium,High,9,82,Female,67
14,78,High,Medium,7,76,Female,65
23,84,High,High,8,93,Male,72
23,73,High,High,6,50,Male,68
26,91,High,Medium,7,57,Male,72
37,94,High,Medium,8,52,Male,76
22,73,Medium,Low,5,58,Female,65
17,94,Low,Medium,8,85,Male,68
20,64,Medium,Medium,6,57,Female,65
9,94,Medium,Medium,6,81,Male,66
16,66,Low,Medium,6,93,Male,63
18,63,Medium,Low,7,52,Female,63
17,86,Medium,Medium,5,51,Male,66
21,79,High,Low,8,99,Male,69
15,96,Medium,High,7,84,Male,72
27,75,Medium,Low,10,57,Male,66
20,71,Medium,Medium,7,65,Female,64
20,80,Medium,Low,8,99,Male,67
18,78,High,High,6,61,Male,67
21,74,Low,Medium,5,88,Male,66
25,88,Medium,Low,8,62,Female,68
15,90,Medium,Medium,5,70,Male,65
16,94,Medium,High,8,94,Male,71
18,99,Medium,High,10,51,Male,71
12,71,Medium,Medium,8,65,Male,62
15,89,Medium,High,8,74,Male,69
17,76,Medium,Low,7,81,Male,65
25,87,High,Low,6,51,Male,70
22,79,Medium,Medium,7,71,Male,66
21,100,Medium,Medium,6,67,Male,70
25,89,Medium,High,5,51,Female,70
19,98,Low,High,7,68,Female,69
22,93,High,Low,9,97,Male,71
19,96,Medium,Medium,5,64,Male,69
22,93,High,Medium,9,79,Female,73
17,78,Medium,Medium,9,65,Female,65
5,70,High,High,8,55,Male,62
19,75,Medium,High,8,64,Female,67
29,61,Low,Medium,7,74,Male,65
26,81,Low,Medium,7,65,Male,65
26,80,Medium,High,6,81,Female,70
27,81,Medium,Medium,7,97,Female,70
21,99,Medium,High,7,53,Female,71
21,96,High,Low,10,86,Male,71
16,66,Medium,Medium,8,50,Male,62
18,75,Medium,Low,7,50,Female,65
24,77,High,Medium,7,57,Male,84
27,74,Medium,Medium,6,74,Male,68
19,92,High,Medium,6,52,Male,70
17,81,Medium,High,8,86,Male,68
20,83,Medium,Medium,6,51,Male,67
24,94,Low,Medium,6,75,Female,69
11,92,High,High,6,84,Female,68
6,65,High,High,6,62,Male,59
17,89,High,Low,9,79,Female,67
13,77,Medium,High,7,63,Male,63
17,72,High,High,7,61,Female,65
19,62,Medium,Medium,7,91,Male,63
17,79,Medium,Medium,7,67,Female,64
29,74,High,Medium,6,91,Female,72
22,70,Low,Medium,5,61,Male,63
22,88,Medium,Medium,9,68,Male,66
24,91,Medium,Medium,8,55,Female,67
13,70,High,High,8,75,Male,66
26,62,Medium,Medium,8,69,Female,66
20,94,Medium,Medium,10,50,Female,68
24,60,High,High,6,73,Male,66
14,97,Medium,Medium,5,54,Female,68
11,85,Medium,Medium,8,92,Female,65
25,73,Medium,Medium,5,75,Female,67
22,70,High,Low,7,85,Male,64
15,60,Low,High,7,91,Male,59
15,69,Medium,Medium,8,53,Male,60
27,66,Low,High,6,67,Female,65
13,84,Medium,Medium,9,51,Female,64
30,67,Medium,High,6,52,Female,66
15,81,Medium,Medium,8,52,Male,65
24,84,Medium,Medium,6,74,Male,69
18,72,High,High,8,73,Female,66
24,61,High,Medium,5,53,Female,65
17,61,High,Medium,7,63,Female,62
19,61,Medium,Low,9,62,Female,60
20,90,Low,Medium,7,65,Female,68
14,73,Medium,High,9,82,Female,64
24,92,High,High,7,85,Female,73
17,77,Medium,Medium,6,67,Male,64
19,78,High,High,7,89,Female,69
14,81,Low,Medium,8,71,Female,63
5,89,Medium,Medium,4,76,Male,65
19,71,Medium,Medium,8,57,Male,65
34,65,Medium,Medium,6,62,Male,67
25,82,Medium,Medium,5,86,Male,67
20,73,Medium,Medium,8,99,Male,66
18,78,Medium,High,9,85,Male,68
20,86,Medium,Low,7,53,Male,65
23,80,Low,Low,5,57,Male,66
13,85,High,Low,6,72,Female,66
27,82,Medium,Medium,6,87,Male,69
24,90,Medium,Medium,7,58,Male,70
24,88,Medium,Low,7,88,Male,71
23,81,High,Medium,8,78,Male,70
20,87,Medium,Medium,8,89,Male,68
24,95,High,High,8,78,Female,73
24,77,Medium,High,8,80,Female,68
18,77,Medium,Medium,7,62,Male,66
17,91,Medium,Low,10,86,Female,67
21,83,Medium,Low,8,92,Male,66
29,63,Medium,High,8,94,Female,69
13,96,Medium,Medium,10,51,Female,67
11,61,Medium,Low,7,81,Male,61
21,90,Medium,Medium,6,99,Female,70
20,90,High,High,9,79,Female,70
21,98,Medium,Medium,9,59,Female,70
21,62,Medium,Medium,7,94,Female,64
19,84,High,Medium,10,63,Female,65
29,77,Medium,Medium,7,52,Female,70
10,73,Low,High,8,72,Female,62
15,64,High,High,9,55,Female,64
19,83,Medium,High,7,56,Female,67
10,79,High,Medium,8,73,Female,63
19,64,Low,Medium,9,81,Male,62
30,84,Low,Medium,6,95,Male,72
20,90,Low,Medium,6,85,Male,69
21,91,Medium,High,9,92,Male,72
12,96,Low,Medium,7,71,Male,68
16,76,Low,Medium,6,66,Female,64
18,98,High,High,7,80,Female,72
18,95,High,High,8,85,Female,73
28,72,High,Medium,5,78,Male,67
23,66,High,Low,8,63,Female,64
13,77,Medium,Medium,8,68,Female,65
21,76,High,High,9,72,Female,67
23,83,Medium,Medium,7,51,Male,68
27,83,Medium,High,9,94,Male,72
29,90,High,Low,7,76,Female,71
14,80,Medium,Medium,7,88,Male,66
15,64,High,Medium,7,59,Female,59
12,94,Medium,Medium,10,78,Female,68
19,72,Low,High,5,96,Female,64
23,99,Low,Medium,8,61,Female,70
26,65,Low,Medium,7,67,Female,65
20,98,High,Medium,7,69,Female,72
18,64,High,High,8,69,Male,66
21,69,Medium,Medium,9,80,Male,68
15,62,Medium,High,8,70,Male,62
33,88,Medium,Low,9,84,Male,70
10,94,High,Medium,7,74,Male,70
21,77,Medium,Low,7,58,Male,64
32,97,High,Low,5,97,Female,76
20,84,Medium,Medium,10,62,Male,67
19,85,High,High,7,78,Male,69
18,94,Medium,Low,7,53,Female,68
19,72,Medium,Medium,8,96,Female,67
28,74,Medium,Medium,9,96,Female,69
7,96,High,Medium,6,68,Female,67
29,96,High,High,9,56,Male,73
11,99,Medium,High,7,88,Male,71
18,96,Medium,Low,9,63,Male,70
17,65,High,Medium,6,85,Male,65
24,93,High,Medium,8,96,Male,73
10,76,Medium,Medium,7,80,Female,65
23,100,Low,Medium,5,93,Male,73
32,79,Low,High,5,61,Male,70
12,82,High,Medium,6,96,Male,66
21,81,Low,Medium,8,61,Female,66
16,73,Medium,Medium,4,61,Male,64
23,63,Medium,Medium,8,94,Male,68
20,96,Medium,Medium,7,78,Male,70
16,92,Medium,Medium,4,90,Male,72
23,66,Medium,High,6,90,Male,66
31,91,Medium,Medium,6,82,Male,74
19,85,High,Medium,7,59,Male,67
24,76,High,High,9,85,Female,71
12,70,Low,High,9,53,Male,60
14,94,Low,Medium,6,60,Female,68
23,88,Medium,Medium,6,82,Male,69
29,82,High,High,5,95,Male,74
22,84,High,Medium,6,89,Male,71
18,64,High,Medium,6,67,Male,63
20,79,High,Low,7,91,Male,66
12,68,Medium,High,7,98,Male,65
24,68,Low,Low,6,67,Female,60
25,86,Medium,Low,6,59,Female,69
17,96,High,Medium,6,60,Female,69
17,76,Medium,High,6,70,Male,67
22,68,High,Medium,9,53,Female,65
17,86,High,High,8,74,Male,70
20,95,High,Medium,8,87,Female,71
33,90,Low,Medium,9,77,Male,73
19,95,Low,High,8,99,Male,70
18,81,High,Low,9,73,Female,67
16,90,Low,High,8,51,Female,67
24,66,Low,High,7,74,Male,65
19,74,High,High,6,96,Male,69
16,76,High,High,6,55,Male,65
28,80,Medium,High,8,61,Female,68
29,97,High,Medium,7,86,Female,74
16,95,Low,Medium,5,65,Female,68
9,65,Medium,Medium,4,88,Male,61
26,67,Medium,Low,10,71,Male,67
16,74,High,High,6,90,Female,66
25,72,Low,Low,6,78,Male,69
8,85,Medium,Low,9,54,Male,62
25,96,Medium,High,5,69,Male,71
13,98,High,High,8,67,Female,71
24,86,Medium,High,10,91,Female,72
20,94,Medium,High,10,81,Female,69
14,81,Low,Medium,6,89,Female,67
18,68,Medium,High,7,69,Female,63
24,81,Medium,Medium,6,85,Male,68
21,82,High,High,7,53,Male,69
24,90,Medium,Low,9,52,Female,65
32,69,High,High,5,64,Female,70
11,75,Medium,Medium,8,89,Male,65
30,75,Medium,Medium,7,77,Male,67
21,98,Medium,High,9,70,Male,72
15,78,Medium,High,9,95,Male,69
12,90,High,High,6,75,Male,69
19,90,High,Low,7,81,Female,71
26,71,Medium,Low,8,99,Male,67
19,83,Low,Low,8,76,Female,65
29,96,Low,Low,4,89,Female,70
11,79,Medium,Medium,8,71,Female,63
20,98,High,High,9,52,Male,71
12,69,High,Medium,7,92,Female,64
22,63,Medium,High,8,97,Male,69
25,96,Low,Medium,9,72,Male,69
17,94,Medium,Medium,7,75,Male,70
4,100,High,Low,8,71,Female,64
21,87,Medium,High,7,100,Male,70
23,97,Medium,High,7,95,Female,74
22,93,Medium,Medium,6,52,Female,69
27,94,Low,Medium,7,89,Female,73
14,83,Medium,Medium,10,80,Female,66
24,75,High,High,6,51,Male,67
27,97,High,High,8,72,Female,76
9,77,Medium,Medium,7,57,Male,61
22,82,Low,Medium,9,94,Female,68
17,78,Medium,Low,9,51,Male,63
20,83,High,Low,6,94,Male,67
22,79,Low,Low,6,97,Male,66
17,62,High,Low,6,54,Male,62
16,95,High,Low,6,86,Male,69
20,78,Medium,Medium,6,77,Male,67
13,84,Medium,Medium,8,98,Female,66
13,66,High,Medium,6,90,Male,63
24,60,Medium,Medium,6,85,Male,64
13,70,Low,Medium,6,96,Male,64
24,88,Low,Medium,8,58,Male,67
23,64,Low,Medium,7,69,Male,66
10,96,High,High,7,92,Female,68
16,69,Medium,High,6,55,Male,62
27,68,Medium,Medium,5,97,Male,68
14,67,High,Low,9,87,Male,63
17,61,Medium,High,7,72,Male,62
23,91,High,High,10,67,Male,72
25,95,Medium,Low,8,57,Female,69
18,85,Medium,Low,10,55,Male,67
16,68,Medium,High,8,71,Male,65
29,71,High,Medium,7,92,Female,69
30,79,High,High,6,77,Male,72
26,98,Low,Medium,6,73,Female,70
21,70,High,High,9,66,Male,91
15,89,High,Low,7,58,Male,65
15,78,Low,Medium,8,100,Female,62
23,72,Low,High,8,51,Male,65
23,78,Medium,Medium,8,66,Female,67
28,63,Medium,Low,6,88,Male,67
24,92,Medium,High,9,76,Female,72
11,70,Medium,Low,7,66,Female,60
26,89,Medium,Low,7,100,Female,69
14,63,Medium,Medium,8,81,Female,61
18,98,Low,Medium,7,65,Female,70
22,68,Medium,High,4,92,Male,68
32,95,Medium,High,9,58,Male,75
39,92,Medium,Medium,9,73,Male,75
24,99,High,Medium,4,92,Male,72
19,79,Low,Medium,5,99,Female,66
23,89,Low,High,10,69,Male,71
25,75,Low,High,7,57,Male,70
18,67,Medium,High,7,78,Female,63
31,78,High,High,6,97,Male,72
21,67,Medium,Medium,5,83,Male,65
23,99,Medium,Medium,7,80,Male,71
24,64,Medium,Medium,8,65,Female,65
23,84,Medium,Low,7,80,Female,69
25,85,Medium,Low,8,94,Male,71
16,82,Medium,High,10,69,Male,68
17,86,Low,Medium,6,62,Female,66
13,65,High,Medium,7,74,Male,60
23,82,Medium,Medium,9,69,Female,68
25,71,Medium,High,6,73,Female,67
23,98,Medium,Low,7,55,Male,71
30,90,High,Medium,10,67,Male,74
20,99,Low,Medium,6,91,Male,70
24,62,Low,High,9,70,Female,63
13,71,Medium,Medium,7,98,Male,64
18,68,Medium,High,10,85,Male,66
24,60,Medium,Medium,5,68,Female,64
25,70,High,High,7,63,Male,69
18,87,Medium,High,5,84,Male,71
20,69,High,Medium,6,65,Female,64
11,80,Medium,Medium,6,96,Male,65
18,96,High,Medium,7,56,Female,69
25,88,Medium,High,5,51,Female,68
23,76,Medium,Medium,7,61,Male,68
23,75,High,Medium,8,80,Female,68
20,78,Low,Medium,5,92,Male,65
20,67,High,High,6,59,Female,65
16,85,Medium,Low,10,79,Male,66
24,75,High,Low,7,57,Male,66
23,94,Medium,Low,4,78,Male,71
23,90,High,Medium,5,51,Male,68
17,84,Low,Medium,7,78,Female,65
7,75,Medium,High,7,76,Female,63
27,68,High,Medium,6,52,Female,66
17,91,High,Low,10,84,Male,71
15,79,Low,Medium,10,79,Male,65
24,69,Medium,High,7,81,Female,68
18,68,Medium,Medium,8,76,Male,66
26,67,Low,High,8,86,Female,64
24,91,Medium,Low,9,76,Female,70
24,69,High,Low,6,96,Male,70
12,81,Medium,High,10,97,Female,66
